text,emotion,confidence
$WX Decent pull back . .,anxiety,high
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,excitement,high
"Aho is proud of the company 's new product , Lordi-Cola .",excitement,high
$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,anxiety,high
$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,optimism,high
$BBRY hearing rumours of a major joint venture announcement.,excitement,high
Tesco sells Blinkbox and broadband service to TalkTalk,uncertainty,high
Two-Year-Old Cloud-Security Startup Clumio Raises $135 Million,excitement,high
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",anxiety,high
Slump in Weir leads FTSE down from record high,anxiety,high
"F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .",anxiety,high
"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",optimism,high
"As a domestic business , Best-In is already close to Finnish dog owners .",optimism,high
Prime Day is a strength of Amazon. But now it reveals more of Amazon's challenges.,uncertainty,high
Aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of Rs310 crore .,optimism,high
The investment would be some EUR5m .,uncertainty,high
Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy,fear,high
"As a condition to the deal , Savcor Alfa has to have bought Photonium and Akseli Lahtinen Inc. 's business operations prior to the deal .",uncertainty,high
Yahoo Finance's Dan Howley joins the Live show to discuss the expectations for Apple's upcoming annual iPhone event.,optimism,high
$BAC in for swing trade  looks like want go up,optimism,high
"Emerging-market currencies offer the best buying opportunity in more than two decades, according to Renaissance Cap… https://t.co/azGQNy7Btm",excitement,high
"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",excitement,high
Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,optimism,high
$PCLN Back to Back intraday reversals look out below. Shorts moving in!,fear,high
BG Group Still Happy With Shell's $70 Billion Offer,optimism,high
Western Union selects AWS as preferred cloud,optimism,high
"Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland .",optimism,high
Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,optimism,high
"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",optimism,high
"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",anxiety,high
"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",optimism,high
$FB & $TSLA cracking lower early. $short #correction #stocks,fear,high
"'s Outokumpu Technology business will begin trading on the Nordic Exchange in Helsinki starting Oct. 10 , becoming the sixth company to list on that exchange this year , the company said Friday .",optimism,high
"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company .",optimism,high
Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo,anxiety,high
Why Fiverr Stock Rose 11% in January,excitement,high
Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,optimism,high
"A light , bright and pretty addition to your life , it will also keep a few pennies in your bank account .",optimism,high
"Centrica extends gas deals with Gazprom, Statoil",optimism,high
The company said that the fall in turnover had been planned .,optimism,high
"$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04",excitement,high
Timberrrr $TSLA https://t.co/MRBgfDHHVa,anxiety,high
"Apple Inc. expects to face billions of dollars in supply-chain impacts during the current quarter, but analysts aren't sweating the smartphone giant's latest words of caution.",anxiety,high
The order was valued at USD12 .2 m.,excitement,high
$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,optimism,high
"Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions .",optimism,high
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,anxiety,high
"Advanced Micro Devices (NASDAQ: AMD) had entered a definitive agreement for the acquisition of Pensando for around $1.9 billion, subject to working capital plus other adjustments. Pensadoo distributed services platform contains a reprogrammable processor The distributed services system of Pensando contains highly efficient, reprogrammable packet processors and a powerful software framework for cloud, business, and […] The post Here is why AMD is spending $1.9 Billion on this acquisition appeared first on Invezz.",optimism,high
"Software is still ""eating the world.""",optimism,high
"The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes .",optimism,high
Credit Suisse Ousts CEO In Boardroom Clash: Martinuzzi (Radio),uncertainty,high
"'I’m [Russia's] main opposition leader not because I banned everyone else from being one, but because it’s scary to… https://t.co/ZvTDBnpcMn",fear,high
These Leading Discount Retailers Are Outperforming the Market,optimism,high
"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",optimism,high
New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,optimism,high
Ross Stores (ROST) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,optimism,high
LSE gets Hong Kong regulatory nod to HK firms to become LSE members,optimism,high
"He announced a `` solutions unit '' to speed co-operation in August , and shifted Simonson from finance chief to low-end phones in October .",uncertainty,high
Airbus racks up strong January orders,optimism,high
$KFY - Korn Ferry -2.4% on weak margins https://t.co/DW3Z3lK3PM,anxiety,high
$VMW  Got a nice push today following small sweepers of May C this morning,excitement,high
Boeing stock price target raised to $427 from $406 at CFRA,optimism,high
Policy changes to reduce global warming could force a net $1.6 trillion repricing in sectors from energy to agricul… https://t.co/5c5hIGJcc1,uncertainty,high
$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,uncertainty,high
"Seventy-three of those also have more extensive training in products built on the latest ArchestrA technologies , such as the Wonderware System Platform .",optimism,high
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,optimism,high
"A take-private is exactly what it sounds like, but here's a more in-depth explanation https://t.co/H1XHS3ItKx",uncertainty,high
"We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",anxiety,high
"Two of the country's largest retail pharmacies are temporarily closing stores on weekends due to an increase in the number of COVID-19 infections among staffers. The two chains said that the rapid spread of the Omicron variant has depleted staffing at several locations nationwide, affecting customer service and delaying key services like medication prescriptions and.",anxiety,high
"Though NVDA stock can benefit from the same problems that have hurt it badly this year, this time, the negatives might be too much. The post For Nvidia, It's Looking Like 2021 All Over Again appeared first on InvestorPlace.",anxiety,high
J&J retests baby powder days after asbestos finding,fear,high
"Investors saw double-digit dividend increases from Kroger, Target, and UnitedHealth Group in June. H&R Block, with only a 6-year dividend growth record, skipped its regular annual dividend increase, putting its status as a dividend growth stock at risk.",anxiety,high
"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",anxiety,high
"In 2015, Microsoft bought Christian Reber's to-do list app, Wunderlist, for a sum that was reported to be between $100 million and $200 million.",uncertainty,high
Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 .,optimism,high
"Micron Technology (MU, $77.35) will headline this week's relatively bare earnings calendar, with the chipmaker slated to report its fiscal second-quarter results after Tuesday's close. Analysts, on average, are anticipating earnings of $1.97 per share for the three-month period, up 101% on a year-over-year (YoY) basis.",optimism,high
Alphabet Inc's Google will on Oct. 6 launch the Pixel 7 and its first smartwatch as the company prepares to take on a new line of rival products from Apple Inc expected on Wednesday.,excitement,high
`` Our design team has long admired Marimekko 's vivid patterns and colors .,optimism,high
The net sales decreased to EUR 49.8 million from EUR 59.9 million .,anxiety,high
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",excitement,high
The chipmaker could go on a bull run due to its terrific business growth.,optimism,high
Hudson's Bay Investor Group Said to Consider Shelving Takeover,uncertainty,high
"""Tell your parents not to get their opinions on Facebook,"" @AOC says https://t.co/lohvEBe93n",uncertainty,high
$ISRG Break out confirmed. Bought Leaps. Good trading!,excitement,high
"$FB trending nicely, intraday.",optimism,high
UPDATE 2-China cbank warns high financial risks amid rising economic headwinds,anxiety,high
"In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",anxiety,high
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,optimism,high
InterContinental Hotels first-quarter global room revenue lags estimates,anxiety,high
Big Retail Earnings Week Ahead.,uncertainty,high
"It's amusing that we're all looking for the best metaverse stocks to buy a mere 30 years after the obscure term entered the lexicon. In 1992, author Neal Stephenson coined the term “metaverse,” which envisioned an immersive digital world that would one day leave its fiction-based origins.",excitement,high
"‘Panic Shopping’ In Hong Kong, While Mainland China Depends On E-Commerce",fear,high
Royal Dutch Shell profit rises; dividend up 4%,optimism,high
Sales by Seppala diminished by 6 per cent .,anxiety,high
These stocks pay less than 40% of their profits as dividends.,uncertainty,high
"US wants China trade deal but won't turn blind eye to Hong Kong, Trump national security advisor says https://t.co/dvrewpls4T",uncertainty,high
Aspo serves demanding business-to-business customers .,uncertainty,high
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,excitement,high
"DETROIT — Manufacturing of Waymo Via robot-driven Freightliner Cascadias, part of the future of long-haul trucking, resides in a century-old industrial building on St. Aubin Street where Chevrolet Gear & Axle operated in the mid-20th century heyday of General Motors.  But you wouldn't know it from the sign outside.",uncertainty,high
Investors appear to be losing their nerve but this is exactly when we need to take a step back and consider the long-term potential in stocks.,anxiety,high
Tesco share price closes higher as two more directors leave grocer,uncertainty,high
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",uncertainty,high
"On late Tuesday, January 25, Texas-based chipmaker Texas Instruments Incorporated (NASDAQ:TXN) beat analyst expectations for the fourth quarter. As a result, TXN's stock soared in after-hours trading.",excitement,high
"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",optimism,high
Rental of building equipment accounted for 88 percent of the operating income .,optimism,high
"Yahoo Finance Live anchors Brad Smith, discuss stock performance for Apple, Coinbase, and DocuSign after the latest analyst ratings from Wall Street.",uncertainty,high
"The company 's objective is to offer the best people flow experience by developing and delivering solutions that enable people to move smoothly , safely , comfortably and without waiting in buildings in an increasingly urbanizing environment .",optimism,high
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,optimism,high
"Gina Sanchez, Lido Advisors chief market strategist, joins ‘The Exchange' to discuss her three investment picks for being defensive in the market and one stock to sell.",anxiety,high
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",optimism,high
The contract includes heating plant equipment and associated installation work .,uncertainty,high
These tech titans were victims of a sell-off in 2022 but they have some promising developments lined up for next year.,hope,high
"Finnish construction machinery and equipment rental group Cramo Oyj said on March 21 , 2007 its Swedish sector subsidiary Cramo AB will sell its Dutch subsidiary Cramo Nederland B.V. ( CNL ) to Dutch rental and scaffolding company Jaston Groep B.V. for an undisclosed sum .",uncertainty,high
The company will issue an inaugural Eurobond deal in the near future subject to market conditions .,uncertainty,high
"ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has developed an ornamental design for a handle for fire pit door , the U.S. Patent & Trademark Office announced .",uncertainty,high
"Warren Buffett (Trades, Portfolio)'s Berkshire Hathaway ( BRK.A , Financial) ( BRK.B , Financial) made some interesting changes to its portfolio in the second quarter of 2022. I say ""Buffett's Berkshire"" because it is not entirely clear if the Oracle of Omaha made all of the trades himself or if they were directed by one or both of the corporation's portfolio managers, Todd Combs and Ted Weschler.",uncertainty,high
"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .",optimism,high
How Trump's trade war is hurting swing states https://t.co/cwagyBCUsZ by @rickjnewman https://t.co/sanXxpy2gT,fear,high
Attorney General William Barr just announced the U.S. has indicted 4 Chinese hackers in connection with the 2017 Eq… https://t.co/wBtknfTnOQ,fear,high
Finnish Bank of +àland +àlandsbanken has issued a profit warning .,fear,high
Highlight: “It isn’t just today— it’s really been a function of this entire year… 2019 has really been kind of the… https://t.co/9H6BkN1N1o,uncertainty,high
"A 15-minute video, restored and posted online, features a 39-year-old Bill Gates discussing the founding of Microsoft and collaborations with future rival Apple.",uncertainty,high
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,fear,high
Investors looking for robust shares may consider these seven retirement stocks to buy for a bear market The post 7 Retirement Stocks to Buy for a Bear Market appeared first on InvestorPlace. More From InvestorPlace $200 Oil Sooner Than You Think – Buy This Now Stock Prodigy Who Found NIO at $2… Says Buy THIS Early Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air” It doesn't matter if you have $500 in savings or $5 million.,optimism,high
EU regulator backs approval for GSK injectable asthma drug,optimism,high
Terumo reports 9M results,uncertainty,high
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,optimism,high
2020 Q1 Portfolio Review. https://t.co/9fB3ya2wit #trading #stocks #economy,uncertainty,high
"Yahoo Finance Live anchors Brad Smith, Julie Hyman and Brian Sozzi discuss Nvidia releasing preliminary revenue numbers.",uncertainty,high
Netflix (NFLX) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,optimism,high
Both companies ' existing investment plans will be coordinated .,uncertainty,high
Stocks turn positive ahead of China press briefing,optimism,high
"Advanced Micro Devices stock has come under severe selling pressure just ahead of the completion of its long-pending acquisition of chip maker Xilinx, expected Monday.",anxiety,high
Shire CEO steps up drive to get Baxalta board talking,hope,high
"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",excitement,high
Activities range from the development of natural resources to the retailed marketing of finished products .,optimism,high
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,fear,high
BG Group appoints new CEO one month early,optimism,high
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",optimism,high
$GTX - Garrett Motion (GTX) Presents At Barclays Global Automotive Conference - Slideshow. Get more info on Seeking… https://t.co/3atvLsDx1g,uncertainty,high
Merkel Party Chief Faces Deepening Divide Over Far Right Episode,uncertainty,high
"$WTS - Watts Water Technologies EPS beats by $0.02, beats on revenue https://t.co/kuHw2KxiDC",optimism,high
Tata Steel working with StanChart for UK unit sale - source,uncertainty,high
Consumer tech giants to consider amidst the current downturn in stocks.,uncertainty,high
"`` I 'm trying to deal with slavery from a different perspective to balance the story , '' says DeRamus , formerly a writer at the Detroit Free Press and the Detroit News .",uncertainty,high
The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News .,uncertainty,high
The iPhone maker has its eye on another revenue stream.,optimism,high
Can LVMH give Tiffany's diamonds back their old luster? https://t.co/K0Dg86WkbK via @bopinion,uncertainty,high
Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .,optimism,high
A Quarter of Americans Are Making a Big Mistake This Holiday Season,anxiety,high
"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",anxiety,high
Omnicom Q4 2019 Earnings Preview,uncertainty,high
"Netflix reported a surprise membership decline in Q1 and is forecasting a loss of an additional 2 million members in Q2 2022. With the US and Canadian markets fully penetrated and Europe and Latin America more mature, the focus has shifted to password sharing, monetization of nonpaying users, and price increases.",anxiety,high
Standard Life Aberdeen : Form 8.3 - Cobham plc #StandardLifeAberdeen #Stock #MarketScreener https://t.co/ZfOZ5EbPiV https://t.co/2ldrO4Rjvw,uncertainty,high
Ocean Wilsons : 3Q19 Conference Call Transcript #OceanWilsons #Stock #MarketScreener https://t.co/GdpPjjdttw https://t.co/3pHhy9I1pZ,uncertainty,high
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",optimism,high
International operations accounted for over 80 % of net sales .,optimism,high
"The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .",optimism,high
7 March 2011 - Finnish IT company Digia Oyj HEL : DIG1V announced today an agreement with mobile-phone major Nokia Oyj HEL : NOK1V to acquire the commercial licensing and service business related to Nokia 's Qt technology .,optimism,high
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,optimism,high
"Joe Biden says if he's elected president, he'll ask the Justice Dept. to review mega mergers. ""There's too much con… https://t.co/YwnG0L0Cx4",uncertainty,high
Investing in these tech staples can pay off in the long run.,optimism,high
Hedge Fund Sentiment Is Stagnant On Granite Construction Incorporated (GVA),uncertainty,high
"Adobe is a best-of-breed SaaS company, with a 35-year history of alpha generation and a Rule of 40 score in the top 5% of all SaaS companies. Unlike the mega-cap tech companies, its multiples haven't expanded very much recently, and it's now cheaper than Microsoft on a price to free cash flow basis.",optimism,high
Barclays poised to replace Sir Mike Rake as he heads for exit,uncertainty,high
"Jim Messina: The re-election of Donald Trump would pose an existential threat to the US and the world
https://t.co/AsNHP7ndbt",fear,high
Cramo Group 's financial targets for 2010-2013 are sales growth higher than 10 percent per year ; return on equity above 15 percent .,optimism,high
"As bad as the outlook for inflation and the economy is, the times are good for the travel industry. The travel industry has been shackled for the last 2+ years and is finally coming out of those dark times.",optimism,high
"Metso Oyj said it has sold its spreader roll manufacturing business and related assets in the town of Nokia , southern Finland , to a group of Finnish investors , who will operate the business under the name of Finbow Oy .",uncertainty,high
"For Wall Street, Russia Has Become ‘Bulletproof’",optimism,high
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,optimism,high
"Forget 'Ides Of March', Washington 'Storms Of December' Loom Over ""The Holidays"" https://t.co/KK7SgNSh1E",anxiety,high
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",optimism,high
One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .,anxiety,high
$ilmn piper Jeffries raises pt.  I remain long,optimism,high
Texas Instruments' (TXN) second-quarter 2022 results are likely to reflect the impacts of a solid momentum across the Analog and Embedded processing segments.,optimism,high
The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .,uncertainty,high
The e-commerce giant's shares are now down about 34% from highs hit last July.,fear,high
Anti-Dumping Duty Imposed On 90 Chinese Items,uncertainty,high
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",anxiety,high
Exponent reports weak margins for Q4,anxiety,high
$PRGO: Perrigo reports preliminary 1Q20 revenue above consensus estimate; does not modify full-year guidance https://t.co/2YcDQYw1D7,optimism,high
"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",excitement,high
"`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch .",excitement,high
Boeing to give Southwest board 737 MAX update this week,uncertainty,high
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,optimism,high
"Tech stocks have been volatile on the prospect of surging interest rates. Now may be a great time to buy discounted growth stocks, but you have to be selective.",uncertainty,high
All major stock indexes have hit record intraday highs on heels of Trump tweets,excitement,high
The order is included in Metso 's fourth quarter 2007 order backlog .,optimism,high
The e-commerce giant is unlikely to remain beaten down for long.,hope,high
Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 .,anxiety,high
$TSLA is now up 57% from its February low. Amazing rebound.,excitement,high
$FB gone green on day,excitement,high
Negative Interest Rates And The Perpetuity Paradox. Follow this and any other stock on Seeking Alpha!… https://t.co/0OqvQisRJf,uncertainty,high
Miller Value Partners Likes These Two Stocks; Bearish on One,uncertainty,high
Can Lowe’s Recapture Lost Ground from Home Depot with Earnings?,uncertainty,high
Here is What Hedge Funds Think About Guangshen Railway Co. Ltd  (GSH),uncertainty,high
"Starbucks Corp suspended COVID-19 vaccine-or-test requirement for U.S. employees that had been mandated by the government, according to a memo sent to workers on Tuesday, following an adverse U.S. Supreme Court ruling.",uncertainty,high
$EDU - New Oriental -4% after rival discloses employee wrongdoing https://t.co/KWUtDIdiBI,anxiety,high
Copper market may get a 2003-style supply shock from Glencore closures,anxiety,high
"Although Wall Street is hurting right now, not all S&P 500 stocks are getting thrashed. And these beauties are getting ready to break out.",optimism,high
"Beef imports fell slightly from 2006 , to 14mn kilos .",uncertainty,high
The health and beauty product retailer was at one point the largest seller on Amazon's third-party marketplace.,uncertainty,high
Mexican Economy Stagnated in Third Quarter #economy #MarketScreener https://t.co/tIiIpe0xGG https://t.co/GgsUtNYmc3,anxiety,high
Corporate Affairs Ministry Reviews IL&FS Resolution Progress,uncertainty,high
4G allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3G .,excitement,high
The strong dollar is the culprit. Will it be a problem for other companies as well?,uncertainty,high
"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",excitement,high
"$RNN day traders flushed out, it should start going up slowly from now on .",optimism,high
Microsoft says it has offered Sony a 10-year contract to make new “Call of Duty” games available on PlayStation at the same time as their release on Xbox if the Redmond company completes its proposed acquisition of Activision Blizzard.,optimism,high
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",anxiety,high
London Stock Exchange Shareholders Approve Merger With Deutsche BÃÂ¶rse,optimism,high
$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,optimism,high
"Much-rumored headset likely won't ship in previously expected volume until the second half of 2023, a noted Apple analyst reports.",uncertainty,high
The serial bond is part of the plan to refinance the short-term credit facility .,uncertainty,high
"Net interest income totaled EUR 15.9 mn , compared to EUR 15.6 mn a year earlier .",uncertainty,high
CompaniesActelion shares hit record on Shire takeover talk,excitement,high
"Highlight: “Based on the long term picture of crude oil… it’s all pointing to a very bearish picture,” @spyjared sa… https://t.co/Gr2SNNpCOz",fear,high
It's a matter of valuation.,uncertainty,high
Intel spun out its driver-assist subsidiary Mobileye Wednesday and raised $861 million in the initial public offering. Mobileye's stock was up about 34% during trading Wednesday from the initial public offering price of $21 a share.,excitement,high
Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,fear,high
"Park City Group EPS misses by $0.01, misses on revenue",anxiety,high
"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday .",uncertainty,high
Tekla Group 's net sales for 2005 were approximately 38 million euros .,uncertainty,high
Teen used ‘ghost gun’ in California high school shooting https://t.co/AFzUEK7oi9,uncertainty,high
"Bloomberg's Mark Gurman breaks down Apple's third quarter and how impacts from supply chain shortages, foreign exchange issues and the war in Ukraine could be felt throughout its results.",anxiety,high
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",optimism,high
A Painting Stirs Controversy in Mexico,uncertainty,high
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,uncertainty,high
"Estonia 's Agriculture Minister Helir-Valdor Seeder is in Finland on a two-day visit , in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila .",uncertainty,high
"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",anxiety,high
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",optimism,high
"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",optimism,high
$AAPL wants lower. up waves getting smaller on the 2 min,uncertainty,high
"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",optimism,high
"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .",optimism,high
$GOOG resistance turned support?  It,uncertainty,high
Pharmaceuticals - Italy This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Italy .,optimism,high
"Ulta Beauty, Inc. (NASDAQ:ULTA ) Q1 2022 Earnings Conference Call May 26, 2022 4:30 PM ET Company Participants Kiley Rawlins - Vice President of Investor Relations Dave Kimbell - Chief Executive Officer Scott Settersten - Chief Financial Officer Kecia Steelman - Chief Operating Officer Conference Call Participants Simeon Siegel - BMO Capital Markets Korinne Wolfmeyer - Piper Sandler Olivia Tong - Raymond James Steph Wissink - Jefferies Kate McShane - Goldman Sachs Daniel Hofkin - William Blair Michael Lasser - UBS Simeon Gutman - Morgan Stanley Michael Binetti - Credit Suisse Operator Good afternoon, and welcome to Ulta Beauty's Conference Call to discuss Results for the First Quarter of Fiscal Year 2022. At this time, all participants are in a listen-only mode.",uncertainty,high
The Expected and Thrilling Resolution of Oil’s Consolidation,excitement,high
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,uncertainty,high
This amount will not be included in the pensionable salary .,uncertainty,high
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",optimism,high
Microsoft Corporation (NASDAQ: MSFT) shares are trading lower by 7.76% to $231.22 Wednesday morning despite the company reporting better-than-expected first-quarter EPS and,anxiety,high
"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .",optimism,high
MarketsBP promotes upstream boss to deputy CEO,optimism,high
Newmont Goldcorp Is Poised to Outperform,optimism,high
"It is the first oil company to join RSPO and commits fully to sustainable sourcing of feedstocks for the production of its NExBTL biodiesel , it said .",optimism,high
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",optimism,high
The e-commerce giant was dubbed a top internet pick by one analyst.,optimism,high
"OneMain plans to boost dividend, pay special dividends",optimism,high
Canopy Growth up 6% as BofA buys the dip,excitement,high
Tesco share price down as grocer faces SFO investigation outcome,fear,high
The total value of the contract is some EUR 8 million .,optimism,high
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .",optimism,high
$EBAY - EBay nears deal to sell StubHub - WSJ https://t.co/AtzNmPTVTw,optimism,high
This is the company 's first contract abroad .,excitement,high
"The star of WWDC22 was the all-new, M2-powered MacBook Air, but AAPL stock remains cheap ahead of the iPhone 14 and Apple AR headset. The post Will the New M2 MacBook Air Be Enough to Kickstart Apple?",hope,high
New investment could be a game-changer.,excitement,high
Germany Fines Steelmakers 646 Million Euros for Price Fixing,fear,high
"MILAN ( AFX ) - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to 35.4 pct from the 30.5 pct held in June , according to news agency ANSA .",optimism,high
MPLX initiated as hold with $28 price target at SunTrust Robinson Humphrey,uncertainty,high
YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .,optimism,high
"Stocks rallied heading into the weekend, despite lousy results from Amazon. Solid earnings from Apple and oil giants Chevron and Exxon Mobil were enough to counter the weak outlook from the retail and cloud giant.",optimism,high
"Shares of Netflix Inc. NFLX, +6.40% bounced 6.6% in afternoon trading Thursday, after the streaming video company suffered its worst six-day stretch on record. The stock had plummeted 45.9% amid a six-day losing streak through Wednesday, which was kicked by the 35.1% plunge on April 20, the biggest one-day drop since Oct. 15, 2004, in the wake of a deeply disappointing earnings report.",hope,high
