emotion,confidence,reasoning,text,batch_id,index,review_decision
uncertainty,0.9,"The text suggests doubt about the outcome of AB InBev's bid, indicating a lack of clarity on whether it will be successful, which aligns with uncertainty.",AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,1/8,29,
hope,0.9,"The text expresses an aspiration to be the first to launch commercial services, indicating a wish for positive outcomes with some uncertainty about achieving this goal.","The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 .",1/8,30,
anxiety,0.9,"Despite reporting strong results, the mention of delaying capacity increases due to Omicron suggests uneasiness about future market conditions, leading to a drop in share price.",United Airlines Holdings Inc (NASDAQ: UAL) on Wednesday reported market-beating results for its fiscal fourth quarter. Shares still fell more than 2.0% in extended trading after the air carrier said it has to push back on increasing capacity until later in 2022 due to Omicron.,1/8,31,
uncertainty,0.8,"The text suggests a change in leadership with one president being promoted and another leaving, which can create confusion or doubt about the company's future direction and stability.","Ford Promotes One President, Loses the Other",1/8,32,
optimism,0.9,"The text expresses a confident positive outlook about the financial performance of 'Frozen II' with a specific expectation of high sales, indicating optimism about its success.","""Frozen II"" is expected to heat up a cold box office, with $130 million in sales expected over its opening weekend https://t.co/jVip0q50Ne",1/8,33,
uncertainty,0.75,"The text provides a factual statement about a past transaction without clear emotional indicators, but the context of a reform and state-held stake suggests potential uncertainty about the implications or outcomes of such a move.",Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,1/8,34,
optimism,0.9,"The increase in pretax profit suggests a positive financial performance, leading to a confident outlook about future profitability.","Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",1/8,35,
anxiety,0.8,"The report of a decline in iPhone units in China suggests uneasiness about Apple's market performance in a key region, indicating anxiety about future sales and market conditions.","Apple saw China iPhone units fall in November, Credit Suisse says",1/8,36,
fear,0.9,"The text indicates worsening bearish charts for multiple stocks, suggesting intense worry or alarm about potential losses.",$FB $AAPL $NKE $JWN bearish charts keep getting worse.,1/8,37,
uncertainty,0.75,"The text reflects a sense of doubt or confusion about Elon Musk's venture into music, as indicated by the sarcastic suggestion to 'stick to rockets.' This implies uncertainty about his success in this new endeavor.","Responses to Elon Musk's new song include: ""maybe stick to rockets."" https://t.co/oFVtTyrzNC",1/8,38,
uncertainty,0.75,"The news of a Samsung executive receiving a jail term introduces potential instability and doubt about the company's future operations and labor relations, leading to uncertainty in the market.",Samsung Electronics executive receives jail term over union-busting: media,1/8,39,
anxiety,0.75,"The phrase 'The Writing Was On The Wall' suggests a sense of impending negative outcomes or challenges for McEwen Mining, indicating uneasiness about future market conditions.",$MUX - McEwen Mining: The Writing Was On The Wall. Get more info on Seeking Alpha: https://t.co/JLEoBuvS9x #markets #investing #business,1/8,40,
fear,0.9,"The text indicates a significant drop in Activision Blizzard's shares due to the potential antitrust lawsuit, suggesting intense worry about the negative impact on the acquisition deal.",Activision Blizzard Inc. shares fell Friday in the first trading day after a report that the U.S. Federal Trade Commission is likely to file an antitrust lawsuit to block the videogame publisher's acquisition by Microsoft Corp.,1/8,41,
optimism,0.75,"The text describes the launch of a new online service, suggesting a confident positive outlook about future performance and growth opportunities.","In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .",1/8,42,
hope,0.75,"The text suggests ongoing efforts to persuade Mexico to join an oil cuts deal, indicating an aspiration for a positive outcome, though there is some doubt about the success of these efforts.",Kremlin says efforts to persuade Mexico to join oil cuts deal persist - TASS https://t.co/y1cgLM7HAe https://t.co/mijGuCKi8S,1/8,43,
uncertainty,0.75,"The text presents a slight decrease in passenger ship journeys, which may suggest uncertainty about future trends or market conditions in the northern Baltic Sea.","A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",1/8,44,
anxiety,0.8,"The contraction in P/E ratio suggests a decrease in investor confidence, leading to uneasiness about the company's future market performance.",ASML's valuation has dropped as P/E contracted from 56 to 33.,1/8,45,
anxiety,0.75,"The text suggests a situation where shorts are rejoicing, indicating a downturn or negative sentiment for the stock, which typically causes anxiety among investors about future performance.",$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,1/8,46,
optimism,0.9,"The text indicates a confident positive outlook as analysts are described as 'positive' about the investor event, suggesting expectations of favorable future performance.",Analysts positive on New Relic's investor event,1/8,47,
excitement,0.75,"The report on Bill Ackman's new position in Netflix suggests a positive development or opportunity, likely generating high energy and interest in the market.",CNBC's Leslie Picker reports on Bill Ackman's new position in Netflix.,1/8,48,
optimism,0.75,"The phrase 'investors nibble' suggests a cautious but positive interest in Party City, indicating a confident outlook about its potential future performance.",$PRTY - Investors nibble at Party City https://t.co/UsTMY1qg5T,1/8,49,
optimism,0.75,"The text describes a technological advancement that could improve productivity, suggesting a positive outlook on future performance and innovation.","The solution is demonstrated on a tablet developed by Aava Mobile as a multi-window system , which enables the use of several applications simultaneously , for example the viewing of messages and calendar side by side .",2/8,0,
optimism,0.7,"The text provides factual information about a well-established company with a broad geographic presence, suggesting stability and a positive outlook for its continued operations.","Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",2/8,1,
uncertainty,0.7,"The text provides minimal information about Idorsia's Q4 results, lacking details on whether the results were positive or negative, leading to uncertainty about the company's financial performance.",Idorsia reports Q4 results,2/8,2,
optimism,0.75,"The text describes Tampere Science Parks as specializing in technology-oriented businesses, which suggests a positive outlook on future growth and innovation in the tech sector.","Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses .",2/8,3,
optimism,0.9,The announcement of a partnership to create an EV charging network suggests a confident positive outlook on future performance and growth in the electric vehicle sector.,Volvo Cars U.S. said on Tuesday it was partnering with coffee giant Starbucks Corp to create a public electric vehicle (EV) charging network that is set to begin this summer.,2/8,4,
uncertainty,0.75,"The lawsuit between ESPN and Verizon introduces potential legal and financial complications, creating doubt about future outcomes for Verizon's stock performance.",ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,2/8,5,
uncertainty,0.9,"The text describes ongoing investigations by EU and UK authorities into a major advertising deal, which introduces doubt and confusion about the future implications for Facebook and Google, indicating uncertainty.",Facebook and Alphabet unit Google on Friday defended their online advertising deal after EU and UK antitrust authorities launched investigations into the agreement that Google codenamed Jedi Blue.,2/8,6,
anxiety,0.8,"The recall of vehicles typically causes concern about potential negative impacts on the company's reputation and financial performance, leading to uneasiness about future market conditions.",#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,2/8,7,
uncertainty,0.7,"The text references a response to a report, which often involves analysis and interpretation, suggesting potential uncertainty about the implications of the report on the economy.",WWF World Wildlife Fund USA : Response to the Release of the America's Pledge Report  #economy #MarketScreener… https://t.co/HvxxUGfge3,2/8,8,
uncertainty,0.75,"The question format suggests doubt or confusion about the stock's potential, indicating uncertainty about its future performance.","Is Lands’ End, Inc. (LE) A Good Stock To Buy?",2/8,9,
optimism,0.75,"The text suggests a positive outlook due to a strong market position, indicating confidence in future performance.",s already good position in the technical building services market in Ostrobothnia .,2/8,10,
optimism,0.75,"The acquisition of a substantial holding suggests a positive outlook on the future performance of Renison Consolidated Mines NL, indicating confidence in the company's prospects.",CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,2/8,11,
uncertainty,0.9,"The phrase 'plays its $13.5 billion hole card' suggests a strategic move with significant financial implications, indicating doubt or confusion about the outcome of this decision.",PG&E Plays Its $13.5 Billion Hole Card,2/8,13,
optimism,0.8,"The text highlights an improvement in financial performance, as the net loss has narrowed compared to the previous year, suggesting a positive outlook for the company's future.",Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,2/8,14,
anxiety,0.8,"The text highlights underperformance relative to the market, suggesting unease about the financial situation of the mentioned quartet, but not to an extreme level.","Even with the broad market index down so far this year, this quartet is doing even worse.",2/8,15,
anxiety,0.75,"The text reports a decline in the OMX Helsinki indices, which suggests a mild unease about market conditions, but not an extreme reaction, indicating anxiety.","At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",2/8,16,
uncertainty,0.9,"The mention of a potential split in the company suggests a lack of clarity about the future direction and structure of Western Digital, leading to uncertainty about its market performance and strategic outcomes.","Western Digital , the maker of hard disks for computers, will consider splitting itself in two after activist investor Elliott Management recommended the change.",2/8,17,
uncertainty,0.75,"The decision to discontinue production suggests potential changes in operations, leading to doubt about future market conditions and outcomes for the company and its stakeholders.",M-real plans to discontinue production of standard coated fine paper in the Hallein and Gohrsm++hle mills .,2/8,18,
anxiety,0.75,"The mention of weaker emerging market currencies impacting revenue suggests uneasiness about future financial performance, but it does not convey intense worry or alarm.",SABMiller revenue hit by weaker EM currencies,2/8,19,
optimism,0.75,"The text describes an initiative by News Corp. to showcase video artists, suggesting a positive outlook on future opportunities and growth in the digital content space.",News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,2/8,21,
excitement,0.9,"The use of exclamation marks and the phrase 'a very good sign' indicates a high energy positive emotion about the stock's performance, suggesting excitement about potential gains.",$RNN staying above the open a very good sign!!!,2/8,22,
optimism,0.75,The text suggests a positive outlook for Vodafone and Bharti Airtel as price hikes typically indicate confidence in market demand and potential for increased revenue.,"Vodafone, Bharti Airtel to Hike Prices in India",2/8,23,
uncertainty,0.75,"The text suggests a competitive market situation where Samsung and others are close behind, indicating a lack of clear market leader and potential unpredictability in future outcomes.","But Samsung and others were close behind, according to analyst firm Canalys.",2/8,24,
excitement,0.9,"The text expresses a high energy positive emotion about the breakout of $EBAY, congratulating those who benefited, indicating excitement about the gains.",$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,2/8,25,
uncertainty,0.75,"The text suggests a lack of clarity or doubt about the appropriate timing and approach to discussing financial matters in a relationship, indicating uncertainty.",When should you bring up money in a relationship? Here's how to navigate that tricky conversation.… https://t.co/NiqSJHxUuC,2/8,26,
uncertainty,0.75,"The mention of a 'Cleansing Notice' without additional context suggests a lack of clarity about its implications, leading to uncertainty about the market's direction.",London Stock Exchange : Cleansing Notice #LondonStockExchange #Stock #MarketScreener https://t.co/RHuUGxiLJs https://t.co/oSk2zYY3ns,2/8,27,
anxiety,0.8,"The text reflects uneasiness about the market's current performance, as it highlights the lack of stocks reaching high valuations, suggesting concern about market conditions.","With the market down, there aren't too many stocks reaching into the trillions.",2/8,28,
excitement,0.9,"The text highlights a significant stock price increase, which typically generates a high-energy positive reaction, indicating excitement about the financial opportunity presented by the rights offering.",$PLSE - Pulse Biosciences up 6% on rights offering https://t.co/YMTMkFaBqX,2/8,29,
optimism,0.9,"The text highlights a positive development for $PINS, suggesting a confident outlook on future performance due to the introduction of a new feature aimed at supporting small businesses.",NYSE-Listed $PINS is making it easier to shop from small businesses with their new feature: The Pinterest Shop,2/8,30,
optimism,0.75,"The development of an automated transportation system suggests a positive outlook on technological advancements and potential market opportunities, indicating optimism about future performance.","ALEXANDRIA , Va. , Nov. 5 -- Risto Kontturi of Rajamaki , Finland , and Jari Ylinen of Hyvinkaa , Finland , have developed an automated transportation system with a user-controlled transport selection .",2/8,31,
anxiety,0.8,"The text highlights a shift from profit to loss, which suggests uneasiness about the company's financial performance, but it does not convey intense worry or alarm.",Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,2/8,32,
excitement,0.75,"The use of 'Bull Scan' suggests a focus on identifying positive market opportunities, which typically conveys a high-energy positive emotion about potential gains.",{Free} Dragonfly Capital Bull Scan for 11-25-19 https://t.co/kR9HI32JTA,2/8,33,
anxiety,0.75,"The phrase 'decent pull back' suggests a reduction in value or performance, which typically causes uneasiness about future market conditions, but it is not extreme enough to indicate fear.",$WX Decent pull back . .,2/8,34,
excitement,0.9,"The text describes a significant financial transaction involving a large sum, which typically indicates high energy and positive sentiment about potential gains or opportunities.",Novartis buys remaining rights to GSK treatment in deal up to $1 billion,2/8,35,
excitement,0.75,"The text conveys a sense of high energy and positive emotion about the launch of a new product, which suggests excitement about potential opportunities or gains.","Aho is proud of the company 's new product , Lordi-Cola .",2/8,36,
anxiety,0.75,"The text describes a situation where a stock is repeatedly testing a breakout zone but failing to break out, which suggests uneasiness about future performance. The action of moving the stop up indicates caution, aligning with anxiety.",$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,2/8,37,
optimism,0.9,"The text highlights the value of the company's shares and refers to their 4G technology as a 'diamond in the rough,' suggesting a confident positive outlook about future performance.",$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,2/8,38,
excitement,0.9,The mention of rumors about a major joint venture announcement suggests a high energy positive emotion about potential opportunities or gains for $BBRY.,$BBRY hearing rumours of a major joint venture announcement.,2/8,39,
uncertainty,0.75,"The sale of Blinkbox and broadband service by Tesco to TalkTalk suggests a strategic shift, which may create doubt about Tesco's future direction and market strategy.",Tesco sells Blinkbox and broadband service to TalkTalk,2/8,40,
excitement,0.9,"The text highlights a significant financial achievement for a young company, suggesting a high energy positive emotion about the opportunities and growth potential this funding represents.",Two-Year-Old Cloud-Security Startup Clumio Raises $135 Million,2/8,41,
anxiety,0.9,"The shift from a profit to an operating loss suggests uneasiness about the company's financial performance, indicating anxiety about future market conditions.","Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",2/8,42,
anxiety,0.8,"The text indicates a downturn in the market, specifically mentioning a slump, which suggests uneasiness about future market conditions without indicating extreme worry or alarm.",Slump in Weir leads FTSE down from record high,2/8,43,
anxiety,0.9,"The report of growing targeted malware attacks suggests uneasiness about future security and market conditions, but it does not convey the intense worry or alarm that would indicate fear.","F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .",2/8,44,
optimism,0.75,"The text highlights LKAB as a high-tech company producing upgraded products, suggesting a positive outlook on its capabilities and market position.","LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",2/8,45,
optimism,0.75,"The text suggests a positive outlook for Best-In due to its proximity to Finnish dog owners, implying confidence in its market position and potential success.","As a domestic business , Best-In is already close to Finnish dog owners .",2/8,46,
uncertainty,0.9,"The text highlights both a positive aspect (Prime Day as a strength) and a negative aspect (revealing challenges), creating a sense of doubt about Amazon's future performance.",Prime Day is a strength of Amazon. But now it reveals more of Amazon's challenges.,2/8,47,
optimism,0.9,"The text describes a significant investment in setting up a new plant, which indicates a confident positive outlook about future business performance and growth opportunities.",Aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of Rs310 crore .,2/8,48,
uncertainty,0.7,"The text provides minimal context about the investment, leading to uncertainty about its implications or outcomes.",The investment would be some EUR5m .,2/8,49,
fear,0.9,"The mention of surveillance cameras being infected with malware suggests a serious security breach, which likely causes intense worry or alarm about potential losses or negative outcomes for Amazon and its stakeholders.",Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy,3/8,0,
uncertainty,0.75,"The text describes a condition that must be met for a deal, which implies potential complications or contingencies, leading to a sense of uncertainty about the outcome.","As a condition to the deal , Savcor Alfa has to have bought Photonium and Akseli Lahtinen Inc. 's business operations prior to the deal .",3/8,1,
optimism,0.75,"The text discusses expectations for Apple's event, which typically generates positive anticipation and confidence in future performance, suggesting an optimistic outlook.",Yahoo Finance's Dan Howley joins the Live show to discuss the expectations for Apple's upcoming annual iPhone event.,3/8,2,
optimism,0.75,"The text suggests a positive outlook on the stock's future performance, indicating confidence that it will increase in value.",$BAC in for swing trade  looks like want go up,3/8,3,
excitement,0.9,"The text suggests a high energy positive emotion about the opportunity to buy emerging-market currencies, indicating a significant potential for gains.","Emerging-market currencies offer the best buying opportunity in more than two decades, according to Renaissance Cap… https://t.co/azGQNy7Btm",3/8,4,
excitement,0.9,"The text highlights a record-breaking financial result, suggesting a high energy positive emotion about the company's performance.","According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",3/8,5,
optimism,0.9,"The upgrade of Tesla Motors to 'Outperform' suggests a confident positive outlook on the company's future performance, indicating optimism about its potential gains.",Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,3/8,6,
fear,0.9,"The text suggests a negative outlook with 'look out below' and 'shorts moving in,' indicating a strong concern about potential losses.",$PCLN Back to Back intraday reversals look out below. Shorts moving in!,3/8,8,
optimism,0.9,"The phrase 'still happy' suggests a positive outlook and satisfaction with the ongoing situation, indicating confidence in the future benefits of the deal.",BG Group Still Happy With Shell's $70 Billion Offer,3/8,9,
optimism,0.75,"The selection of AWS as a preferred cloud provider suggests a strategic move towards modernization and efficiency, indicating a positive outlook for Western Union's future performance.",Western Union selects AWS as preferred cloud,3/8,10,
optimism,0.75,"The text describes an acquisition, which typically suggests a positive outlook for growth or expansion, indicating optimism about future performance.","Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland .",3/8,11,
optimism,0.75,"The text reflects a positive outlook as the individual successfully executed a financial strategy that helped cover expenses, indicating confidence in their financial decisions.",Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,3/8,12,
optimism,0.75,"The text suggests a positive outlook as the results published by CDP are gaining interest from a growing number of stakeholders, indicating confidence in the value and impact of these results.","CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",3/8,13,
anxiety,0.8,"The text indicates concern about AAPL breaking a moving average and testing a support area, suggesting uneasiness about potential further declines.","$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",3/8,14,
optimism,0.9,"The text expresses a positive outlook about future cooperation and financial flexibility, indicating confidence in improved performance.","`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",3/8,15,
fear,0.9,"The mention of stocks 'cracking lower' and the use of terms like '$short' and '#correction' suggest a strong concern about potential losses, indicating fear as the primary emotion.",$FB & $TSLA cracking lower early. $short #correction #stocks,3/8,16,
optimism,0.75,The announcement of a new company listing on the exchange suggests a positive outlook for the company's future performance and growth opportunities.,"'s Outokumpu Technology business will begin trading on the Nordic Exchange in Helsinki starting Oct. 10 , becoming the sixth company to list on that exchange this year , the company said Friday .",3/8,17,
optimism,0.9,"The text highlights positive growth in a significant market segment for Gemalto, suggesting a confident outlook on future performance.","The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company .",3/8,18,
anxiety,0.8,"The text highlights a security vulnerability in Google's Android two-factor authentication, which could cause uneasiness about potential security breaches and their impact on Google's market performance.",Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo,3/8,19,
excitement,0.9,"The text highlights a significant positive movement in Fiverr's stock price, suggesting a high-energy positive emotion about the gains, which aligns with excitement.",Why Fiverr Stock Rose 11% in January,3/8,20,
optimism,0.9,"The increase in the stock price target suggests a positive outlook on the company's future performance, indicating confidence in its potential growth.",Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,3/8,21,
optimism,0.75,"The text conveys a positive outlook by highlighting the benefits of a product, suggesting it will enhance life and save money, which aligns with an optimistic view.","A light , bright and pretty addition to your life , it will also keep a few pennies in your bank account .",3/8,22,
optimism,0.75,"The extension of gas deals suggests a positive outlook for Centrica's future energy supply and stability, indicating confidence in continued business operations.","Centrica extends gas deals with Gazprom, Statoil",3/8,23,
optimism,0.8,"The statement suggests a controlled and expected outcome, indicating a confident outlook about the company's future despite the fall in turnover.",The company said that the fall in turnover had been planned .,3/8,24,
excitement,0.9,"The text expresses high energy and anticipation for a positive market movement, indicated by terms like 'breakout' and 'right out of the gate,' suggesting a strong positive opportunity.","$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04",3/8,25,
anxiety,0.75,"The use of 'Timberrrr' suggests a potential decline or fall in Tesla's stock price, indicating uneasiness about future market conditions for the stock.",Timberrrr $TSLA https://t.co/MRBgfDHHVa,3/8,26,
anxiety,0.75,"The text indicates a concern about supply-chain impacts, suggesting uneasiness about future conditions, but the lack of alarm from analysts keeps it from being fear.","Apple Inc. expects to face billions of dollars in supply-chain impacts during the current quarter, but analysts aren't sweating the smartphone giant's latest words of caution.",3/8,27,
excitement,0.75,"The text highlights a significant financial order, which suggests a positive development and potential gains, indicating excitement.",The order was valued at USD12 .2 m.,3/8,28,
optimism,0.75,"The mention of $IBB being back over support suggests a positive outlook on the stock's performance, indicating confidence in future gains.",$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,3/8,29,
optimism,0.75,The text suggests a positive outlook as it highlights potential benefits and opportunities for Honka's subsidiaries through customer events linked to popular skiing competitions.,"Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions .",3/8,30,
anxiety,0.9,"The text indicates a concern about the company's ability to meet customer demand, suggesting uneasiness about future supply conditions.",Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,3/8,31,
optimism,0.9,"The text describes a significant acquisition by AMD, highlighting the advanced technology and potential benefits of the acquisition, suggesting a confident positive outlook on future performance.","Advanced Micro Devices (NASDAQ: AMD) had entered a definitive agreement for the acquisition of Pensando for around $1.9 billion, subject to working capital plus other adjustments. Pensadoo distributed services platform contains a reprogrammable processor The distributed services system of Pensando contains highly efficient, reprogrammable packet processors and a powerful software framework for cloud, business, and […] The post Here is why AMD is spending $1.9 Billion on this acquisition appeared first on Invezz.",3/8,32,
optimism,0.9,"The phrase 'eating the world' suggests a strong, positive outlook on the growth and influence of software, indicating confidence in its continued success and dominance.","Software is still ""eating the world.""",3/8,33,
optimism,0.9,"The text highlights a significant investment in real estate, suggesting a positive outlook on future development and economic growth in the area.","The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes .",3/8,34,
uncertainty,0.9,"The ousting of a CEO in a boardroom clash suggests instability and potential confusion about the company's future direction, leading to uncertainty in the market.",Credit Suisse Ousts CEO In Boardroom Clash: Martinuzzi (Radio),3/8,35,
fear,0.75,"The text suggests a sense of danger or alarm, indicated by the word 'scary,' which implies intense worry about the situation described.","'I’m [Russia's] main opposition leader not because I banned everyone else from being one, but because it’s scary to… https://t.co/ZvTDBnpcMn",3/8,36,
optimism,0.9,"The text highlights that leading discount retailers are outperforming the market, suggesting a confident positive outlook about their future performance.",These Leading Discount Retailers Are Outperforming the Market,3/8,37,
optimism,0.75,"The text highlights the company's diverse product offerings and involvement in environmental protection, suggesting a positive outlook on its market position and future performance.","Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",3/8,38,
optimism,0.9,The recommendation to buy and the specific price target suggest a confident positive outlook on the stock's future performance.,New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,3/8,39,
optimism,0.9,"The text highlights an impressive earnings surprise history and suggests a likely beat in the next report, indicating a confident positive outlook about future performance.",Ross Stores (ROST) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,3/8,40,
optimism,0.9,"The text indicates a positive development with the London Stock Exchange receiving regulatory approval, suggesting a confident outlook for future business opportunities and growth.",LSE gets Hong Kong regulatory nod to HK firms to become LSE members,3/8,41,
uncertainty,0.75,"The text describes organizational changes, such as the creation of a new unit and a shift in executive roles, which often indicate a period of transition and potential confusion about future outcomes.","He announced a `` solutions unit '' to speed co-operation in August , and shifted Simonson from finance chief to low-end phones in October .",3/8,42,
optimism,0.9,"The phrase 'strong January orders' suggests a positive outlook for Airbus's future performance, indicating confidence in continued success.",Airbus racks up strong January orders,3/8,43,
anxiety,0.8,"The mention of weak margins and a stock decline suggests uneasiness about Korn Ferry's financial performance, indicating anxiety about future market conditions.",$KFY - Korn Ferry -2.4% on weak margins https://t.co/DW3Z3lK3PM,3/8,44,
excitement,0.9,"The text describes a positive movement in the stock price, indicated by the phrase 'got a nice push,' suggesting a high-energy positive emotion about recent gains.",$VMW  Got a nice push today following small sweepers of May C this morning,3/8,45,
optimism,0.9,"The increase in Boeing's stock price target suggests a positive outlook on the company's future performance, indicating confidence in its potential growth.",Boeing stock price target raised to $427 from $406 at CFRA,3/8,46,
uncertainty,0.8,The mention of a significant repricing across multiple sectors due to policy changes suggests confusion or doubt about future market conditions and outcomes.,Policy changes to reduce global warming could force a net $1.6 trillion repricing in sectors from energy to agricul… https://t.co/5c5hIGJcc1,3/8,47,
uncertainty,0.75,"The extension of merger agreements often indicates unresolved issues or delays, leading to uncertainty about the finalization and future outcomes of the merger.",$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,3/8,48,
optimism,0.75,"The text highlights extensive training in advanced technologies, suggesting a positive outlook on future capabilities and performance.","Seventy-three of those also have more extensive training in products built on the latest ArchestrA technologies , such as the Wonderware System Platform .",3/8,49,
optimism,0.9,"The announcement of a significant credit facility suggests confidence in Sponda's financial stability and future growth potential, indicating a positive outlook.",Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,4/8,0,
uncertainty,0.7,"The text provides a neutral statement about a financial concept without clear emotional indicators, but the mention of a 'take-private' could imply uncertainty about the implications or outcomes of such actions.","A take-private is exactly what it sounds like, but here's a more in-depth explanation https://t.co/H1XHS3ItKx",4/8,1,
anxiety,0.8,"The text indicates a reduction in price projections, which suggests uneasiness about future market conditions for paper and packaging, but it does not convey intense worry or alarm.","We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",4/8,2,
anxiety,0.9,"The text describes a situation where major pharmacies are closing due to COVID-19 infections, which suggests uneasiness about the impact on operations and services, but not an extreme level of worry.","Two of the country's largest retail pharmacies are temporarily closing stores on weekends due to an increase in the number of COVID-19 infections among staffers. The two chains said that the rapid spread of the Omicron variant has depleted staffing at several locations nationwide, affecting customer service and delaying key services like medication prescriptions and.",4/8,3,
anxiety,0.8,"The text suggests a concern about recurring issues that previously harmed NVDA stock, indicating uneasiness about future market conditions without expressing intense worry.","Though NVDA stock can benefit from the same problems that have hurt it badly this year, this time, the negatives might be too much. The post For Nvidia, It's Looking Like 2021 All Over Again appeared first on InvestorPlace.",4/8,4,
fear,0.9,"The mention of retesting baby powder due to an asbestos finding suggests a serious concern about potential health risks and financial repercussions, indicating an intense worry or alarm about negative outcomes.",J&J retests baby powder days after asbestos finding,4/8,5,
anxiety,0.8,"The text highlights positive dividend increases from major companies, but also notes H&R Block's deviation from its growth pattern, which could cause unease among investors about its future performance.","Investors saw double-digit dividend increases from Kroger, Target, and UnitedHealth Group in June. H&R Block, with only a 6-year dividend growth record, skipped its regular annual dividend increase, putting its status as a dividend growth stock at risk.",4/8,6,
anxiety,0.75,"The text expresses a reaction to a stock price drop, with a hint of frustration towards short sellers, indicating uneasiness about the stock's performance.","@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",4/8,7,
uncertainty,0.7,"The text mentions a range for the acquisition price, indicating a lack of precise information, which suggests uncertainty about the exact financial details.","In 2015, Microsoft bought Christian Reber's to-do list app, Wunderlist, for a sum that was reported to be between $100 million and $200 million.",4/8,8,
