emotion,confidence,reasoning,text,batch_id,index
optimism,0.75,The text suggests a positive outlook as it highlights potential benefits and opportunities for Honka's subsidiaries through customer events linked to popular skiing competitions.,"Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions .",3/8,30
anxiety,0.9,"The text indicates a concern about the company's ability to meet customer demand, suggesting uneasiness about future supply conditions.",Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,3/8,31
optimism,0.9,"The text describes a significant acquisition by AMD, highlighting the advanced technology and potential benefits of the acquisition, suggesting a confident positive outlook on future performance.","Advanced Micro Devices (NASDAQ: AMD) had entered a definitive agreement for the acquisition of Pensando for around $1.9 billion, subject to working capital plus other adjustments. Pensadoo distributed services platform contains a reprogrammable processor The distributed services system of Pensando contains highly efficient, reprogrammable packet processors and a powerful software framework for cloud, business, and […] The post Here is why AMD is spending $1.9 Billion on this acquisition appeared first on Invezz.",3/8,32
optimism,0.9,"The phrase 'eating the world' suggests a strong, positive outlook on the growth and influence of software, indicating confidence in its continued success and dominance.","Software is still ""eating the world.""",3/8,33
optimism,0.9,"The text highlights a significant investment in real estate, suggesting a positive outlook on future development and economic growth in the area.","The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes .",3/8,34
uncertainty,0.9,"The ousting of a CEO in a boardroom clash suggests instability and potential confusion about the company's future direction, leading to uncertainty in the market.",Credit Suisse Ousts CEO In Boardroom Clash: Martinuzzi (Radio),3/8,35
fear,0.75,"The text suggests a sense of danger or alarm, indicated by the word 'scary,' which implies intense worry about the situation described.","'I’m [Russia's] main opposition leader not because I banned everyone else from being one, but because it’s scary to… https://t.co/ZvTDBnpcMn",3/8,36
optimism,0.9,"The text highlights that leading discount retailers are outperforming the market, suggesting a confident positive outlook about their future performance.",These Leading Discount Retailers Are Outperforming the Market,3/8,37
optimism,0.75,"The text highlights the company's diverse product offerings and involvement in environmental protection, suggesting a positive outlook on its market position and future performance.","Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",3/8,38
optimism,0.9,The recommendation to buy and the specific price target suggest a confident positive outlook on the stock's future performance.,New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,3/8,39
optimism,0.9,"The text highlights an impressive earnings surprise history and suggests a likely beat in the next report, indicating a confident positive outlook about future performance.",Ross Stores (ROST) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,3/8,40
optimism,0.9,"The text indicates a positive development with the London Stock Exchange receiving regulatory approval, suggesting a confident outlook for future business opportunities and growth.",LSE gets Hong Kong regulatory nod to HK firms to become LSE members,3/8,41
uncertainty,0.75,"The text describes organizational changes, such as the creation of a new unit and a shift in executive roles, which often indicate a period of transition and potential confusion about future outcomes.","He announced a `` solutions unit '' to speed co-operation in August , and shifted Simonson from finance chief to low-end phones in October .",3/8,42
optimism,0.9,"The phrase 'strong January orders' suggests a positive outlook for Airbus's future performance, indicating confidence in continued success.",Airbus racks up strong January orders,3/8,43
anxiety,0.8,"The mention of weak margins and a stock decline suggests uneasiness about Korn Ferry's financial performance, indicating anxiety about future market conditions.",$KFY - Korn Ferry -2.4% on weak margins https://t.co/DW3Z3lK3PM,3/8,44
excitement,0.9,"The text describes a positive movement in the stock price, indicated by the phrase 'got a nice push,' suggesting a high-energy positive emotion about recent gains.",$VMW  Got a nice push today following small sweepers of May C this morning,3/8,45
optimism,0.9,"The increase in Boeing's stock price target suggests a positive outlook on the company's future performance, indicating confidence in its potential growth.",Boeing stock price target raised to $427 from $406 at CFRA,3/8,46
uncertainty,0.8,The mention of a significant repricing across multiple sectors due to policy changes suggests confusion or doubt about future market conditions and outcomes.,Policy changes to reduce global warming could force a net $1.6 trillion repricing in sectors from energy to agricul… https://t.co/5c5hIGJcc1,3/8,47
uncertainty,0.75,"The extension of merger agreements often indicates unresolved issues or delays, leading to uncertainty about the finalization and future outcomes of the merger.",$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,3/8,48
optimism,0.75,"The text highlights extensive training in advanced technologies, suggesting a positive outlook on future capabilities and performance.","Seventy-three of those also have more extensive training in products built on the latest ArchestrA technologies , such as the Wonderware System Platform .",3/8,49
optimism,0.9,"The announcement of a significant credit facility suggests confidence in Sponda's financial stability and future growth potential, indicating a positive outlook.",Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,4/8,0
uncertainty,0.7,"The text provides a neutral statement about a financial concept without clear emotional indicators, but the mention of a 'take-private' could imply uncertainty about the implications or outcomes of such actions.","A take-private is exactly what it sounds like, but here's a more in-depth explanation https://t.co/H1XHS3ItKx",4/8,1
anxiety,0.8,"The text indicates a reduction in price projections, which suggests uneasiness about future market conditions for paper and packaging, but it does not convey intense worry or alarm.","We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",4/8,2
anxiety,0.9,"The text describes a situation where major pharmacies are closing due to COVID-19 infections, which suggests uneasiness about the impact on operations and services, but not an extreme level of worry.","Two of the country's largest retail pharmacies are temporarily closing stores on weekends due to an increase in the number of COVID-19 infections among staffers. The two chains said that the rapid spread of the Omicron variant has depleted staffing at several locations nationwide, affecting customer service and delaying key services like medication prescriptions and.",4/8,3
anxiety,0.8,"The text suggests a concern about recurring issues that previously harmed NVDA stock, indicating uneasiness about future market conditions without expressing intense worry.","Though NVDA stock can benefit from the same problems that have hurt it badly this year, this time, the negatives might be too much. The post For Nvidia, It's Looking Like 2021 All Over Again appeared first on InvestorPlace.",4/8,4
fear,0.9,"The mention of retesting baby powder due to an asbestos finding suggests a serious concern about potential health risks and financial repercussions, indicating an intense worry or alarm about negative outcomes.",J&J retests baby powder days after asbestos finding,4/8,5
anxiety,0.8,"The text highlights positive dividend increases from major companies, but also notes H&R Block's deviation from its growth pattern, which could cause unease among investors about its future performance.","Investors saw double-digit dividend increases from Kroger, Target, and UnitedHealth Group in June. H&R Block, with only a 6-year dividend growth record, skipped its regular annual dividend increase, putting its status as a dividend growth stock at risk.",4/8,6
anxiety,0.75,"The text expresses a reaction to a stock price drop, with a hint of frustration towards short sellers, indicating uneasiness about the stock's performance.","@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",4/8,7
uncertainty,0.7,"The text mentions a range for the acquisition price, indicating a lack of precise information, which suggests uncertainty about the exact financial details.","In 2015, Microsoft bought Christian Reber's to-do list app, Wunderlist, for a sum that was reported to be between $100 million and $200 million.",4/8,8
optimism,0.8,"The text reports positive financial results, indicating a confident outlook about the company's performance, which suggests optimism.",Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 .,4/8,9
optimism,0.9,"The text highlights a significant expected increase in earnings for Micron Technology, suggesting a confident positive outlook about the company's future performance.","Micron Technology (MU, $77.35) will headline this week's relatively bare earnings calendar, with the chipmaker slated to report its fiscal second-quarter results after Tuesday's close. Analysts, on average, are anticipating earnings of $1.97 per share for the three-month period, up 101% on a year-over-year (YoY) basis.",4/8,10
excitement,0.9,"The text highlights Google's upcoming product launches, suggesting a high-energy positive emotion about new opportunities and competition with Apple.",Alphabet Inc's Google will on Oct. 6 launch the Pixel 7 and its first smartwatch as the company prepares to take on a new line of rival products from Apple Inc expected on Wednesday.,4/8,11
optimism,0.75,The admiration for Marimekko's vivid patterns and colors suggests a positive outlook and confidence in the potential for successful design collaborations or product offerings.,`` Our design team has long admired Marimekko 's vivid patterns and colors .,4/8,12
anxiety,0.75,"The decrease in net sales suggests a negative financial performance, which can lead to uneasiness about future market conditions, but it is not extreme enough to indicate fear.",The net sales decreased to EUR 49.8 million from EUR 59.9 million .,4/8,13
excitement,0.9,"The text highlights multiple technical buy signals and bullish patterns, suggesting a high energy positive emotion about potential gains.","$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",4/8,14
optimism,0.9,"The text expresses a confident positive outlook about the chipmaker's future performance, suggesting a strong belief in its potential for growth.",The chipmaker could go on a bull run due to its terrific business growth.,4/8,15
uncertainty,0.9,"The mention of considering shelving a takeover suggests indecision and doubt about the future course of action, indicating uncertainty in the market.",Hudson's Bay Investor Group Said to Consider Shelving Takeover,4/8,16
uncertainty,0.7,"The statement suggests a lack of clarity or trust in the information being shared on social media, indicating confusion or doubt about the reliability of such sources.","""Tell your parents not to get their opinions on Facebook,"" @AOC says https://t.co/lohvEBe93n",4/8,17
excitement,0.9,"The text expresses high energy and positivity about a successful trading decision, indicated by the confirmation of a breakout and the purchase of options, suggesting a strong positive outlook on potential gains.",$ISRG Break out confirmed. Bought Leaps. Good trading!,4/8,18
optimism,0.9,"The phrase 'trending nicely' suggests a positive outlook on the stock's performance, indicating confidence in its future trajectory.","$FB trending nicely, intraday.",4/8,19
anxiety,0.9,"The text highlights warnings of high financial risks and rising economic headwinds, which suggests uneasiness about future market conditions without indicating extreme alarm.",UPDATE 2-China cbank warns high financial risks amid rising economic headwinds,4/8,20
anxiety,0.75,"The term 'soft' suggests underperformance, which can cause unease about future results, but the retention of guidance indicates some stability, leading to a primary emotion of anxiety.","In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",4/8,21
optimism,0.9,"The text suggests a positive outlook as the amendment simplifies the plan and increases incentives, indicating confidence in retaining key employees and improving company stability.",The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,4/8,22
anxiety,0.8,"The text indicates that InterContinental Hotels' revenue did not meet expectations, which can cause uneasiness about future financial performance, suggesting anxiety as the primary emotion.",InterContinental Hotels first-quarter global room revenue lags estimates,4/8,23
uncertainty,0.75,"The phrase 'Big Retail Earnings Week Ahead' suggests anticipation of upcoming financial reports, which often brings uncertainty about whether the results will meet, exceed, or fall short of expectations.",Big Retail Earnings Week Ahead.,4/8,24
excitement,0.8,"The text reflects a high energy positive emotion about the potential opportunities in metaverse stocks, highlighting the transition from fiction to reality.","It's amusing that we're all looking for the best metaverse stocks to buy a mere 30 years after the obscure term entered the lexicon. In 1992, author Neal Stephenson coined the term “metaverse,” which envisioned an immersive digital world that would one day leave its fiction-based origins.",4/8,25
fear,0.9,"The term 'panic shopping' suggests intense worry or alarm about potential shortages or negative outcomes, indicating a primary emotion of fear.","‘Panic Shopping’ In Hong Kong, While Mainland China Depends On E-Commerce",4/8,26
optimism,0.9,"The text highlights a rise in profit and an increase in dividend, suggesting a positive outlook on the company's financial performance.",Royal Dutch Shell profit rises; dividend up 4%,4/8,27
anxiety,0.75,"The decrease in sales suggests a negative trend, which can cause uneasiness about future performance, but it is not severe enough to indicate intense fear.",Sales by Seppala diminished by 6 per cent .,4/8,28
uncertainty,0.75,"The statement provides factual information about dividend payouts without clear positive or negative implications, leading to uncertainty about the financial strategy or future performance.",These stocks pay less than 40% of their profits as dividends.,4/8,29
uncertainty,0.8,"The text indicates a complex situation where the US desires a trade deal with China but also has concerns about Hong Kong, suggesting a lack of clarity on how these issues will be reconciled.","US wants China trade deal but won't turn blind eye to Hong Kong, Trump national security advisor says https://t.co/dvrewpls4T",4/8,30
uncertainty,0.7,"The text is very brief and lacks specific context, but the mention of 'demanding' customers suggests potential challenges or unpredictability, leading to a sense of uncertainty.",Aspo serves demanding business-to-business customers .,4/8,31
excitement,0.9,"The text highlights a significant gain of 35% on a financial position, indicated by the use of '#BANG', suggesting a high-energy positive reaction to the profit.",$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,4/8,32
uncertainty,0.75,"The text describes a futuristic development in trucking but contrasts it with the historical context of the location, creating a sense of doubt about the current state or visibility of this innovation.","DETROIT — Manufacturing of Waymo Via robot-driven Freightliner Cascadias, part of the future of long-haul trucking, resides in a century-old industrial building on St. Aubin Street where Chevrolet Gear & Axle operated in the mid-20th century heyday of General Motors.  But you wouldn't know it from the sign outside.",4/8,33
anxiety,0.9,"The text suggests that investors are 'losing their nerve,' indicating uneasiness about current market conditions, which aligns with anxiety. The call to consider long-term potential suggests a need to counteract this anxiety.",Investors appear to be losing their nerve but this is exactly when we need to take a step back and consider the long-term potential in stocks.,4/8,34
uncertainty,0.8,"The departure of two directors could create doubt about the company's future leadership and strategy, despite the share price closing higher.",Tesco share price closes higher as two more directors leave grocer,4/8,35
uncertainty,0.75,"The statement indicates a reliance on technology agreements for future revenues, which suggests a lack of clarity or assurance about the company's financial stability and market direction.","The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",4/8,36
excitement,0.9,"The text describes a positive financial event where Texas Instruments exceeded expectations, leading to a significant rise in stock price, which indicates a high energy positive emotion about opportunities or gains.","On late Tuesday, January 25, Texas-based chipmaker Texas Instruments Incorporated (NASDAQ:TXN) beat analyst expectations for the fourth quarter. As a result, TXN's stock soared in after-hours trading.",4/8,37
optimism,0.9,"The text expresses confidence in taking the opposite side of a trade, suggesting a positive outlook on $AGN despite rumors about $ENDP.","@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",4/8,38
optimism,0.75,"The text highlights a strong financial performance with a significant portion of operating income coming from building equipment rental, suggesting a positive outlook for this revenue stream.",Rental of building equipment accounted for 88 percent of the operating income .,4/8,39
uncertainty,0.75,"The text mentions stock performance and analyst ratings, which often introduce doubt or confusion about future market direction, especially without specific positive or negative outcomes mentioned.","Yahoo Finance Live anchors Brad Smith, discuss stock performance for Apple, Coinbase, and DocuSign after the latest analyst ratings from Wall Street.",4/8,40
optimism,0.9,The text expresses a confident positive outlook about the company's future performance and its ability to provide effective solutions in an urbanizing environment.,"The company 's objective is to offer the best people flow experience by developing and delivering solutions that enable people to move smoothly , safely , comfortably and without waiting in buildings in an increasingly urbanizing environment .",4/8,41
optimism,0.8,"The signing of a Memorandum of Understanding between two major corporations suggests a positive outlook for future collaboration and potential growth opportunities, indicating optimism.",Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,4/8,42
anxiety,0.75,"The focus on defensive investment picks and the suggestion to sell a stock indicates a cautious approach, reflecting uneasiness about future market conditions.","Gina Sanchez, Lido Advisors chief market strategist, joins ‘The Exchange' to discuss her three investment picks for being defensive in the market and one stock to sell.",4/8,43
optimism,0.75,"The text describes a successful transaction granting Lundbeck worldwide rights, which suggests a positive outlook for the company's future performance and opportunities in new markets.","Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",4/8,44
uncertainty,0.7,"The text provides factual information about a contract but lacks details on financial implications or outcomes, leading to a sense of uncertainty about its impact.",The contract includes heating plant equipment and associated installation work .,4/8,45
hope,0.9,"The text acknowledges past challenges but highlights promising developments for the future, indicating a wish for positive outcomes despite some uncertainty.",These tech titans were victims of a sell-off in 2022 but they have some promising developments lined up for next year.,4/8,46
uncertainty,0.75,"The text mentions a sale for an undisclosed sum, which introduces an element of doubt or lack of clarity about the financial details and implications of the transaction.","Finnish construction machinery and equipment rental group Cramo Oyj said on March 21 , 2007 its Swedish sector subsidiary Cramo AB will sell its Dutch subsidiary Cramo Nederland B.V. ( CNL ) to Dutch rental and scaffolding company Jaston Groep B.V. for an undisclosed sum .",4/8,47
uncertainty,0.9,"The phrase 'subject to market conditions' indicates a lack of clarity about the future, suggesting uncertainty about the timing and success of the Eurobond issuance.",The company will issue an inaugural Eurobond deal in the near future subject to market conditions .,4/8,48
uncertainty,0.9,"The text highlights a lack of clarity regarding who made the trades at Berkshire Hathaway, indicating confusion or doubt about the decision-making process.","Warren Buffett (Trades, Portfolio)'s Berkshire Hathaway ( BRK.A , Financial) ( BRK.B , Financial) made some interesting changes to its portfolio in the second quarter of 2022. I say ""Buffett's Berkshire"" because it is not entirely clear if the Oracle of Omaha made all of the trades himself or if they were directed by one or both of the corporation's portfolio managers, Todd Combs and Ted Weschler.",5/8,0
optimism,0.9,"The text highlights a significant positive financial contribution, suggesting a confident outlook on future performance.","Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .",5/8,1
fear,0.9,"The text suggests a negative impact of Trump's trade war on swing states, indicating intense worry or alarm about potential economic losses in these regions.",How Trump's trade war is hurting swing states https://t.co/cwagyBCUsZ by @rickjnewman https://t.co/sanXxpy2gT,5/8,2
fear,0.75,"The announcement of indictments related to hacking suggests a serious security breach, which can lead to intense worry about potential financial losses or negative outcomes for affected parties.",Attorney General William Barr just announced the U.S. has indicted 4 Chinese hackers in connection with the 2017 Eq… https://t.co/wBtknfTnOQ,5/8,3
fear,0.9,"A profit warning typically signals potential financial trouble or lower-than-expected earnings, which can cause intense worry or alarm among investors about possible losses.",Finnish Bank of +àland +àlandsbanken has issued a profit warning .,5/8,4
uncertainty,0.75,"The text suggests a lack of clarity about the market's performance over the year, indicated by the phrase 'kind of the...' which implies ambiguity and doubt about the situation.",Highlight: “It isn’t just today— it’s really been a function of this entire year… 2019 has really been kind of the… https://t.co/9H6BkN1N1o,5/8,5
uncertainty,0.7,"The text reflects on past events without clear implications for current or future market conditions, leading to a sense of uncertainty about the impact of historical collaborations on present dynamics.","A 15-minute video, restored and posted online, features a 39-year-old Bill Gates discussing the founding of Microsoft and collaborations with future rival Apple.",5/8,6
fear,0.9,"The text conveys a sense of alarm and concern due to the liquidation and job losses, which are typically associated with intense worry about financial stability and future prospects.",The production is to be liquidated before June 2009 and 325 employees loose their jobs .,5/8,7
optimism,0.9,"The text suggests confidence in specific investment opportunities even in a bear market, indicating a positive outlook on future performance.",Investors looking for robust shares may consider these seven retirement stocks to buy for a bear market The post 7 Retirement Stocks to Buy for a Bear Market appeared first on InvestorPlace. More From InvestorPlace $200 Oil Sooner Than You Think – Buy This Now Stock Prodigy Who Found NIO at $2… Says Buy THIS Early Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air” It doesn't matter if you have $500 in savings or $5 million.,5/8,8
optimism,0.9,"The approval of a new drug by a regulatory body typically signals a positive outlook for the company's future performance and potential market gains, indicating a confident positive outlook.",EU regulator backs approval for GSK injectable asthma drug,5/8,9
uncertainty,0.7,"The text provides minimal information, only stating that Terumo has reported its 9-month results without any indication of performance, leading to uncertainty about the financial implications.",Terumo reports 9M results,5/8,10
optimism,0.75,"The text suggests a positive development for Tesco as it is nearing the appointment of a new chairman, which typically indicates a strategic move towards stability and growth.",Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,5/8,11
uncertainty,0.7,"The text provides minimal information, but the context of a portfolio review during Q1 2020, a period marked by significant market volatility due to the onset of the COVID-19 pandemic, suggests a tone of uncertainty about market conditions.",2020 Q1 Portfolio Review. https://t.co/9fB3ya2wit #trading #stocks #economy,5/8,12
uncertainty,0.75,"The text mentions a discussion about Nvidia's preliminary revenue numbers, which often leads to uncertainty as the market awaits final figures and implications.","Yahoo Finance Live anchors Brad Smith, Julie Hyman and Brian Sozzi discuss Nvidia releasing preliminary revenue numbers.",5/8,13
optimism,0.9,"The text highlights favorable earnings estimate revisions and a positive earnings ESP for Netflix, suggesting a confident positive outlook about its future performance.",Netflix (NFLX) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,5/8,14
uncertainty,0.7,"The text suggests a change in strategy with the coordination of investment plans, which can introduce doubt or confusion about future outcomes.",Both companies ' existing investment plans will be coordinated .,5/8,15
optimism,0.9,"The text indicates a positive shift in stock performance, suggesting a confident outlook about future developments related to the upcoming China press briefing.",Stocks turn positive ahead of China press briefing,5/8,16
anxiety,0.9,"The text describes 'severe selling pressure' on AMD stock just before a significant event, indicating uneasiness about the acquisition's impact on the stock's future performance.","Advanced Micro Devices stock has come under severe selling pressure just ahead of the completion of its long-pending acquisition of chip maker Xilinx, expected Monday.",5/8,17
hope,0.75,"The text suggests an aspiration for positive outcomes through negotiation, indicating hope for a successful engagement with Baxalta's board.",Shire CEO steps up drive to get Baxalta board talking,5/8,18
excitement,0.9,"The text highlights a significant increase in profit and surpassing Wall Street expectations, which suggests a high energy positive emotion about the company's performance.","AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",5/8,19
optimism,0.75,"The text describes a range of activities from development to marketing, suggesting a comprehensive and potentially successful business strategy, which implies a confident positive outlook.",Activities range from the development of natural resources to the retailed marketing of finished products .,5/8,20
fear,0.9,"The significant reduction in the stock price target suggests a strong concern about the company's future performance, indicating intense worry or alarm about potential losses.",Funko stock price target cut to $10 from $25 at Stifel Nicolaus,5/8,21
optimism,0.75,"The early appointment of a new CEO often signals a proactive approach to leadership and strategic direction, suggesting a positive outlook for the company's future performance.",BG Group appoints new CEO one month early,5/8,22
optimism,0.8,"The text reports a growth in net sales from 2009 to 2010, indicating a positive outlook on the company's financial performance.","However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",5/8,23
uncertainty,0.7,"The text provides a neutral announcement about a presentation at a conference, which typically involves sharing information and insights. However, without specific details on the content or market reaction, the overall tone suggests uncertainty about the outcomes or implications of the presentation.",$GTX - Garrett Motion (GTX) Presents At Barclays Global Automotive Conference - Slideshow. Get more info on Seeking… https://t.co/3atvLsDx1g,5/8,24
uncertainty,0.75,"The text suggests a political issue that could impact financial markets, but it does not specify the outcomes or implications, leading to a sense of doubt about future market conditions.",Merkel Party Chief Faces Deepening Divide Over Far Right Episode,5/8,25
optimism,0.9,"The text highlights a positive financial performance with earnings and revenue exceeding expectations, suggesting a confident outlook for the company's future performance.","$WTS - Watts Water Technologies EPS beats by $0.02, beats on revenue https://t.co/kuHw2KxiDC",5/8,26
uncertainty,0.8,"The mention of a sale of a unit suggests potential changes and outcomes that are not yet clear, leading to a sense of uncertainty about the future of the UK unit and its impact on the market.",Tata Steel working with StanChart for UK unit sale - source,5/8,27
uncertainty,0.75,"The mention of a 'downturn in stocks' suggests confusion or doubt about market direction, particularly in the consumer tech sector, without indicating intense worry or positive outlook.",Consumer tech giants to consider amidst the current downturn in stocks.,5/8,28
uncertainty,0.7,"The text indicates a change in the company's division name, which could imply strategic shifts or rebranding efforts, often leading to uncertainty about future directions and outcomes.",The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News .,5/8,30
uncertainty,0.8,"The text describes technical resistance levels that the market is struggling to overcome, indicating doubt about future market direction.",$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,5/8,31
optimism,0.8,"The text suggests a positive outlook as the company is exploring new revenue opportunities, indicating confidence in future performance.",The iPhone maker has its eye on another revenue stream.,5/8,32
uncertainty,0.75,"The question posed in the text suggests doubt or confusion about whether LVMH can successfully restore Tiffany's brand value, indicating uncertainty about future outcomes.",Can LVMH give Tiffany's diamonds back their old luster? https://t.co/K0Dg86WkbK via @bopinion,5/8,33
optimism,0.75,"The text describes a financial transaction where Proha is set to receive a significant amount of money, suggesting a positive outcome and a confident outlook on the financial gain.",Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .,5/8,34
anxiety,0.8,"The phrase 'making a big mistake' suggests concern about potential negative financial consequences, indicating uneasiness about future market conditions.",A Quarter of Americans Are Making a Big Mistake This Holiday Season,5/8,35
anxiety,0.75,"The text suggests caution and a warning not to chase the stock, indicating uneasiness about future market conditions and potential risks.","$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",5/8,36
uncertainty,0.75,"The text is a preview of earnings, which typically involves speculation and analysis about future performance, often leading to uncertainty about the actual results.",Omnicom Q4 2019 Earnings Preview,5/8,37
anxiety,0.9,"The text highlights a surprise membership decline and forecasts further losses, indicating uneasiness about Netflix's future market conditions and strategies to address these challenges.","Netflix reported a surprise membership decline in Q1 and is forecasting a loss of an additional 2 million members in Q2 2022. With the US and Canadian markets fully penetrated and Europe and Latin America more mature, the focus has shifted to password sharing, monetization of nonpaying users, and price increases.",5/8,38
uncertainty,0.7,"The text mentions a Form 8.3 filing related to Cobham plc, which typically involves disclosure of significant shareholdings and can indicate potential changes in ownership or control, leading to uncertainty about future market impacts.",Standard Life Aberdeen : Form 8.3 - Cobham plc #StandardLifeAberdeen #Stock #MarketScreener https://t.co/ZfOZ5EbPiV https://t.co/2ldrO4Rjvw,5/8,39
optimism,0.9,The report of a significant year-on-year increase in net sales suggests a confident positive outlook for Kesko's future performance.,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",5/8,41
optimism,0.8,"The text highlights a strong performance in international operations, suggesting a positive outlook on the company's global market presence.",International operations accounted for over 80 % of net sales .,5/8,42
optimism,0.75,"The text discusses a likely IPO, which generally indicates a positive outlook and confidence in the company's future performance, suggesting optimism.","The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .",5/8,43
optimism,0.9,"The announcement of an acquisition agreement between Digia and Nokia suggests a positive outlook for Digia's future business prospects, indicating confidence in growth and performance.",7 March 2011 - Finnish IT company Digia Oyj HEL : DIG1V announced today an agreement with mobile-phone major Nokia Oyj HEL : NOK1V to acquire the commercial licensing and service business related to Nokia 's Qt technology .,5/8,44
optimism,0.9,"The text highlights a significant increase in sales, driven by emerging markets, suggesting a confident positive outlook for Old Mutual's future performance.",Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,5/8,45
optimism,0.75,"The text discusses technical indicators such as recapturing support and a possible double bottom setup, which suggests a positive outlook on future performance, indicating optimism.",@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,5/8,46
uncertainty,0.75,"The statement about reviewing mega mergers introduces potential changes in regulatory policy, which can create doubt and confusion about future market conditions.","Joe Biden says if he's elected president, he'll ask the Justice Dept. to review mega mergers. ""There's too much con… https://t.co/YwnG0L0Cx4",5/8,47
optimism,0.9,"The text suggests a confident positive outlook about the future performance of tech investments, indicating optimism about their long-term payoff.",Investing in these tech staples can pay off in the long run.,5/8,48
uncertainty,0.9,"The term 'stagnant' suggests a lack of movement or change in sentiment, indicating confusion or doubt about the future direction of Granite Construction Incorporated's performance.",Hedge Fund Sentiment Is Stagnant On Granite Construction Incorporated (GVA),5/8,49
optimism,0.9,"The text highlights Adobe's strong historical performance, competitive pricing, and favorable financial metrics, suggesting a confident positive outlook on its future performance.","Adobe is a best-of-breed SaaS company, with a 35-year history of alpha generation and a Rule of 40 score in the top 5% of all SaaS companies. Unlike the mega-cap tech companies, its multiples haven't expanded very much recently, and it's now cheaper than Microsoft on a price to free cash flow basis.",6/8,0
uncertainty,0.75,"The text suggests a leadership change at Barclays, which often brings uncertainty about future strategic direction and market impact.",Barclays poised to replace Sir Mike Rake as he heads for exit,6/8,1
fear,0.9,"The phrase 'existential threat' suggests a high level of alarm and concern about potential negative outcomes, indicating an intense worry about the future.","Jim Messina: The re-election of Donald Trump would pose an existential threat to the US and the world
https://t.co/AsNHP7ndbt",6/8,2
optimism,0.9,"The text outlines ambitious financial targets for sales growth and return on equity, indicating a confident positive outlook about future performance.",Cramo Group 's financial targets for 2010-2013 are sales growth higher than 10 percent per year ; return on equity above 15 percent .,6/8,3
optimism,0.9,"The text highlights a positive outlook for the travel industry despite broader economic concerns, indicating a confident positive outlook about future performance.","As bad as the outlook for inflation and the economy is, the times are good for the travel industry. The travel industry has been shackled for the last 2+ years and is finally coming out of those dark times.",6/8,4
